Description,Features,Keywords,Parent_sku,Sku,Specs,Title,Variations,Warning,file_urls,image_name,image_urls,images
The Crossfire Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.,,,products-crossfire-brigade-performance-safety-eyewear,,,Crossfire Brigade Performance Safety Eyewear,"['1731','1733','1734']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Brigade Performance Safety Eyewear,https://images.salsify.com/image/upload/s--F398O2RW--/w_636%2Cq_65/fl_attachment/ahcyj9tkp4erdmwsstia.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--F398O2RW--/w_636%2Cq_65/fl_attachment/ahcyj9tkp4erdmwsstia.jpg', 'path': 'Crossfire Brigade Performance Safety Eyewear.jpg', 'checksum': 'c3f344412a4aab9ad99fa627b2c37362', 'status': 'downloaded'}]"
"The Crossfire Blade weighs in at less than a 1/2 ounce, and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",,,products-crossfire-blade-performance-safety-eyewear,,,Crossfire Blade Performance Safety Eyewear,"['3021-af','30210','3024-af']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Blade Performance Safety Eyewear,https://images.salsify.com/image/upload/s--_Q2W7Sij--/w_636%2Cq_65/fl_attachment/b9vlrnefchfm229jgjxf.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--_Q2W7Sij--/w_636%2Cq_65/fl_attachment/b9vlrnefchfm229jgjxf.jpg', 'path': 'Crossfire Blade Performance Safety Eyewear.jpg', 'checksum': 'fe3125d0f09fe93f3eab18d4a853b98a', 'status': 'downloaded'}]"
"The stylish design of the full frame Crossfire ARCUS Safety Glass is designed for maximum protection. The soft, rubber nose piece allows for all day comfort while the temple logo design gives it a stylish, edgy look.",,,products-crossfire-arcus-premium-safety-eyewear,,,Crossfire ARCUS Premium Safety Eyewear,['450501'], WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire ARCUS Premium Safety Eyewear,https://images.salsify.com/image/upload/s--kbjedVkM--/w_636%2Cq_65/fl_attachment/snw7enmvq1h8zh2t5jyn.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--kbjedVkM--/w_636%2Cq_65/fl_attachment/snw7enmvq1h8zh2t5jyn.jpg', 'path': 'Crossfire ARCUS Premium Safety Eyewear.jpg', 'checksum': '29d791185b9265e6512a4b5e45a0df1b', 'status': 'downloaded'}]"
"The Crossfire AR3 Premium Safety Eyewear is designed for all environments. The AR3 features an adjustable nosepiece, ultralight frame, and 100% visually correct lenses. Patent Number D728,666",,,products-crossfire-ar3-premium-safety-eyewear,,,Crossfire AR3 Premium Safety Eyewear,"['16428','161129','16146','16278','1663','1664']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire AR3 Premium Safety Eyewear,https://images.salsify.com/image/upload/s--hgqipGtG--/w_636%2Cq_65/fl_attachment/byfokshcpyn4s9eqrdfd.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--hgqipGtG--/w_636%2Cq_65/fl_attachment/byfokshcpyn4s9eqrdfd.jpg', 'path': 'Crossfire AR3 Premium Safety Eyewear.jpg', 'checksum': 'e9675632cf24f3868d9eb2da04599502', 'status': 'downloaded'}]"
"The Crossfire 710 EVA foam lined safety glass has lightweight, full frame that protects against dust and debris. The dual mold rubber temples and soft, rubber nosepiece provides a comfortable, non-slip fit. Sold separately, the ES35 strap conveniently snaps into the temple arms.",,,products-crossfire-710-foam-lined-safety-eyewear,,,Crossfire 710 Foam Lined Safety Eyewear,"['35117','3541','3564','35231']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire 710 Foam Lined Safety Eyewear,https://images.salsify.com/image/upload/s--E6CVFZwU--/w_636%2Cq_65/fl_attachment/y4dymzqhohagutulkfgq.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--E6CVFZwU--/w_636%2Cq_65/fl_attachment/y4dymzqhohagutulkfgq.jpg', 'path': 'Crossfire 710 Foam Lined Safety Eyewear.jpg', 'checksum': '0dc0ccf70efd350af8d7920e9ad8f74d', 'status': 'downloaded'}]"
"The 24Seven is a foam lined, frameless safety glass with an ultra lightweight, single lens design that provides excellent coverage. The flexible temples provide all day comfort.",,,products-crossfire-24seven--foam-lined-safety-eyewear,,,Crossfire 24Seven Foam Lined Safety Eyewear,"['3841','3854']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire 24Seven Foam Lined Safety Eyewear,https://images.salsify.com/image/upload/s--W-W_xbKL--/w_636%2Cq_65/fl_attachment/jr6fcsdvmymnxgodtvzy.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--W-W_xbKL--/w_636%2Cq_65/fl_attachment/jr6fcsdvmymnxgodtvzy.jpg', 'path': 'Crossfire 24Seven Foam Lined Safety Eyewear.jpg', 'checksum': 'c3d6cdc888c2c50c4ff0876c9240e1ac', 'status': 'downloaded'}]"
"The 24Seven is a frameless safety glass with an ultra lightweight, single lens design that provides excellent coverage. The flexible temples provide all day comfort.",,,products-crossfire-24seven--performance-safety-eyewear,,,Crossfire 24Seven Performance Safety Eyewear,"['3741','3748','3754','37415']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire 24Seven Performance Safety Eyewear,https://images.salsify.com/image/upload/s--YZulkxRh--/w_636%2Cq_65/fl_attachment/roknqh7jorq1cxdc6v3b.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--YZulkxRh--/w_636%2Cq_65/fl_attachment/roknqh7jorq1cxdc6v3b.jpg', 'path': 'Crossfire 24Seven Performance Safety Eyewear.jpg', 'checksum': '060ed622d35e7cd9050fb126dce24fe8', 'status': 'downloaded'}]"
"The DEWALT DPG84 Insulator Protective Eyewear replacement lens is perfect when replacing a scratched or damaged lens when working in construction, manufacturing, and lawn & garden workers. The low-profile goggle features a premium anti-fog and anti-scratch coating to help workers see clearly.",,,products-dewalt-dpg84-insulator--replacement-lens,,,DEWALT DPG84 Insulator Replacement Lens,['dpg84-13rl'], WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,DEWALT DPG84 Insulator Replacement Lens,https://images.salsify.com/image/upload/s--BvixdoFM--/w_636%2Cq_65/fl_attachment/oatl0eetjfh8aya5ftyz.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--BvixdoFM--/w_636%2Cq_65/fl_attachment/oatl0eetjfh8aya5ftyz.jpg', 'path': 'DEWALT DPG84 Insulator Replacement Lens.jpg', 'checksum': '21c90b6577d0eb35c097ea7ff3cb7035', 'status': 'downloaded'}]"
The DEWALT Structure Safety Glass has extra side temple coverage to protect against debris.,,,products-dewalt-dpg93-structure--safety-glass,,,DEWALT DPG93 Structure Safety Glass,"['dpg93-1d','dpg93-2d']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,DEWALT DPG93 Structure Safety Glass,https://images.salsify.com/image/upload/s--U22DEh_c--/w_636%2Cq_65/fl_attachment/qabt1favrwvjtoxggh6f.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--U22DEh_c--/w_636%2Cq_65/fl_attachment/qabt1favrwvjtoxggh6f.jpg', 'path': 'DEWALT DPG93 Structure Safety Glass.jpg', 'checksum': '9b59f2427e08e7ade3b429dda52173c4', 'status': 'downloaded'}]"
"The DEWALT Framework Safety Glass has Foam Shield lining to provide a comfortable, snug fit with the added dust and debris protection of a goggle.",,,products-dewalt--dpg95-framework--safety-glass,,,DEWALT DPG95 Framework Safety Glass,"['dpg95-1d','dpg95-2d','dpg95-9d','dpg95-11d']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,DEWALT DPG95 Framework Safety Glass,https://images.salsify.com/image/upload/s--80aYbTla--/w_636%2Cq_65/fl_attachment/jnrz3poebme5mg8qqhez.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--80aYbTla--/w_636%2Cq_65/fl_attachment/jnrz3poebme5mg8qqhez.jpg', 'path': 'DEWALT DPG95 Framework Safety Glass.jpg', 'checksum': 'c9bcb44d0d390325de0017bcd8f1c67b', 'status': 'downloaded'}]"
